vehicle_id,manufacturer,model,battery_capacity_kwh,usable_capacity_kwh,max_charging_power_kw,consumption_kwh_per_100km,arrival_hour,departure_hour,initial_soc,daily_distance_km,energy_needed_kwh,target_soc
EV_028,Renault,Megane E-Tech,60.0,57.0,22.0,15.5,7.51,17.37,0.22,55.2,8.55,0.47
EV_029,Renault,Megane E-Tech,60.0,57.0,22.0,15.5,8.31,18.1,0.791,49.5,7.67,0.9
EV_030,Tesla,Model 3 SR,55.0,52.5,11.0,14.0,7.33,15.97,0.422,52.5,7.35,0.662
EV_031,Renault,Megane E-Tech,60.0,57.0,22.0,15.5,7.7,20.0,0.521,71.1,11.02,0.815
EV_032,Renault,Megane E-Tech,60.0,57.0,22.0,15.5,9.89,16.61,0.505,55.7,8.63,0.756
EV_033,Renault,Megane E-Tech,60.0,57.0,22.0,15.5,8.6,16.49,0.587,26.7,4.14,0.76
EV_034,Renault,Megane E-Tech,60.0,57.0,22.0,15.5,8.57,17.21,0.511,59.3,9.18,0.772
EV_035,Kia,EV6 LR,77.4,74.0,11.0,16.8,8.11,15.73,0.596,44.6,7.5,0.797
EV_036,Tesla,Model 3 SR,55.0,52.5,11.0,14.0,9.06,17.53,0.356,55.7,7.79,0.605
EV_037,Opel,Corsa-e,50.0,46.3,11.0,15.3,8.76,19.06,0.636,31.4,4.81,0.839
EV_038,Renault,Megane E-Tech,60.0,57.0,22.0,15.5,7.18,16.93,0.733,66.0,10.23,0.9
EV_039,Renault,Megane E-Tech,60.0,57.0,22.0,15.5,8.73,19.19,0.615,52.6,8.16,0.858
EV_040,Renault,Megane E-Tech,60.0,57.0,22.0,15.5,7.28,17.49,0.307,44.3,6.86,0.528
EV_041,Opel,Corsa-e,50.0,46.3,11.0,15.3,9.46,18.33,0.256,62.3,9.54,0.562
EV_042,Kia,EV6 LR,77.4,74.0,11.0,16.8,10.0,15.0,0.554,60.8,10.22,0.792
EV_043,Renault,Megane E-Tech,60.0,57.0,22.0,15.5,9.38,17.02,0.502,68.1,10.56,0.787
EV_044,Renault,Megane E-Tech,60.0,57.0,22.0,15.5,9.04,19.2,0.338,55.9,8.67,0.59
EV_045,Renault,Megane E-Tech,60.0,57.0,22.0,15.5,7.43,18.46,0.209,46.6,7.23,0.436
EV_046,Renault,Megane E-Tech,60.0,57.0,22.0,15.5,9.21,18.71,0.543,20.8,3.23,0.7
EV_047,Renault,Megane E-Tech,60.0,57.0,22.0,15.5,8.05,19.05,0.39,65.7,10.18,0.669
EV_048,Opel,Corsa-e,50.0,46.3,11.0,15.3,8.16,15.0,0.707,25.7,3.93,0.891
EV_049,Tesla,Model 3 SR,55.0,52.5,11.0,14.0,7.62,17.81,0.726,50.9,7.12,0.9
EV_050,Kia,EV6 LR,77.4,74.0,11.0,16.8,7.36,18.4,0.378,76.7,12.88,0.652
